,Agent Name,Agent Address,Agent City,FY 21  Net Sales,FY 20 Net Sales,FY 19 Net Sales,FY 18 Net Sales,FY 17 Net Sales
5450,HOBART'S COUNTRY STORE,2514 MAIN ST,TEWKSBURY,"$3,802,652.75","$2,663,893.25","$3,802,652.75","$2,595,010.75","$2,234,985.50"
5451,J C SPIRITS,1699 SHAWSHEEN ST,TEWKSBURY,"$122,374.50","$120,990.75","$122,374.50","$127,533.25","$110,022.25"
5452,JADE EAST,433 MAIN ST,TEWKSBURY,"$1,344,731.50","$960,763.00","$1,344,731.50","$1,179,313.75","$1,072,994.50"
5453,KNIGHTS OF COLUMBUS,2068 MAIN ST,TEWKSBURY,"$145,775.50","$76,296.50","$145,775.50","$126,878.00","$121,325.75"
5454,KYOTO JAPANESE STEAKHOUSE,1487 MAIN ST,TEWKSBURY,"$662,738.50","$9,470.00","$662,738.50","$560,179.50","$648,868.50"
5455,MAIN STREET LIQUORS,391 MAIN ST,TEWKSBURY,"$262,112.00","$290,109.00","$262,112.00","$236,162.00","$242,907.00"
5456,MARKET BASKET #08,10 MAIN ST,TEWKSBURY,"$722,697.50","$584,204.75","$722,697.50","$735,576.00","$740,530.25"
5457,MARKET BASKET #22,1900 MAIN STREET,TEWKSBURY,"$706,387.50","$587,631.50","$706,387.50","$691,477.75","$639,675.25"
5458,MNP MART,1992 MAIN ST,TEWKSBURY,"$947,537.50","$1,433,271.25","$947,537.50","$697,986.00","$659,269.75"
5459,OAKDALE LIQUORS,1900 MAIN ST,TEWKSBURY,"$621,459.50","$696,842.75","$621,459.50","$637,309.00","$668,654.75"
5460,RICHDALE,1899 MAIN STREET UNIT 3,TEWKSBURY,"$886,208.50","$1,868,169.75","$886,208.50","$648,677.25","$60,707.00"
5461,RT 38 SMOKE SHOP,553 MAIN ST,TEWKSBURY,"$243,284.25","$185,613.75","$243,284.25","$211,612.75","$223,373.50"
5462,SPEEDWAY #2485,1910 ANDOVER ST,TEWKSBURY,"$578,036.25","$765,326.00","$578,036.25","$552,878.75","$546,605.75"
5463,TEWKSBURY MOBIL,940 ANDOVER ST,TEWKSBURY,"$1,455,462.25","$1,760,347.50","$1,455,462.25","$1,339,234.00","$1,232,995.25"
5464,TEWKSBURY MOBIL,1785 ANDOVER ST,TEWKSBURY,"$2,055,595.25","$2,560,493.75","$2,055,595.25","$1,796,192.00","$1,740,065.00"
5465,THE TOBACCONIST,1875 MAIN ST,TEWKSBURY,"$47,771.50","$52,461.50","$47,771.50","$26,237.75","$22,921.00"
5466,TJ CALLAHAN'S PUB,1475 MAIN STREET,TEWKSBURY,"$676,265.00","$728,894.00","$676,265.00","$550,730.50","$465,953.25"
5467,WHITE DOVE PANTRY,910 ANDOVER STREET,TEWKSBURY,"$1,938,363.75","$2,213,408.00","$1,938,363.75","$1,950,893.50","$1,767,368.00"
5468,WILMINGTON ELKS 2070,777 SOUTH STREET,TEWKSBURY,"$1,089,611.50","$1,073,064.50","$1,089,611.50","$1,002,032.50","$949,456.75"
5469,JUNCTION VARIETY,4279 CHURCH STREET,THORNDIKE,"$1,104,039.50","$1,258,359.75","$1,104,039.50","$1,285,234.75","$1,131,668.75"
5470,ST JOSEPH CLUB,18 COMMERICAL ST,THORNDIKE,"$682,239.00","$378,050.50","$682,239.00","$570,234.25","$536,603.75"
5471,AMVETS POST,2150 MAIN ST,THREE RIVERS,"$271,059.75","$25,002.00","$271,059.75","$249,874.50","$222,686.75"
5472,COUNTRY CORNER CITGO,5 SPRINGFIELD ST,THREE RIVERS,"$823,691.00","$1,065,285.00","$823,691.00","$882,306.50","$894,011.75"
5473,PUBLIC PETROLEUM,2394 MAIN ST,THREE RIVERS,"$1,440,995.50","$2,093,984.75","$1,440,995.50","$1,276,055.50","$1,258,381.50"
5474,RAMADON'S PACKAGE STORE,2020 MAIN STREET,THREE RIVERS,"$74,869.00","$97,759.50","$74,869.00","$81,883.25","$79,940.50"
5475,S & S FOOD MART,2019 MAIN ST,THREE RIVERS,"$930,778.75","$1,037,741.25","$930,778.75","$967,046.25","$396,439.00"
5476,S & S FOOD MART,2019 MAIN ST,THREE RIVERS,"$930,778.75","$1,037,741.25","$930,778.75","$967,046.25","$457,849.00"
5477,ST STANISLAUS,2114 MAIN STREET,THREE RIVERS,"$212,414.25","$84,919.00","$212,414.25","$220,567.25","$228,745.00"
5478,COUNTRY FARMS,20 MAIN STREET,TOPSFIELD,"$987,839.25","$418,986.25","$987,839.25","$799,005.75","$86,916.25"
5479,COUNTRY FARMS,20 MAIN STREET,TOPSFIELD,"$987,839.25","$613,906.75","$987,839.25","$799,005.75","$86,916.25"
5480,GIL'S GROCERY,30 MAIN ST,TOPSFIELD,"$277,223.50","$280,783.75","$277,223.50","$281,489.75","$302,851.00"
5481,BAILEY'S BAR & GRILLE,18 MAIN ST,TOWNSEND,"$137,847.25","$66,724.00","$137,847.25","$136,408.50","$99,921.00"
5482,ENERGY NORTH #2102,197 MAIN STREET,TOWNSEND,"$551,569.50","$1,084,601.25","$551,569.50","$557,617.50","$441,469.50"
5483,HANNAFORD #8009,18 MAIN ST,TOWNSEND,"$270,321.00","$58,050.75","$270,321.00","$345,942.50","$344,517.75"
5484,HONEY LAND FARMS,251 MAIN ST,TOWNSEND,"$2,815,605.50","$2,470,322.75","$2,815,605.50","$2,811,758.75","$2,832,164.00"
5485,MR MIKE'S #316,238 MAIN ST,TOWNSEND,"$435,219.50","$644,447.25","$435,219.50","$410,179.50","$356,940.50"
5486,OLD BRICK STORE,440 MAIN ST,TOWNSEND,"$659,924.75","$48,669.75","$659,924.75","$537,076.50","$518,112.00"
5487,TOWNSEND PACKAGE,224 MAIN ST,TOWNSEND,"$221,779.25","$228,775.00","$221,779.25","$254,890.00","$245,625.50"
5488,WINE NOOK,18 MAIN ST,TOWNSEND,"$340,627.00","$430,747.75","$340,627.00","$340,030.25","$341,374.75"
5489,CONNECTICUT RIVER LIQUOR &,123 AVENUE A,TURNERS FALLS,"$160,061.00","$143,275.50","$160,061.00","$161,448.75","$148,327.00"
5490,CRESTVIEW LIQUORS,68 UNITY STREET,TURNERS FALLS,"$393,049.00","$492,811.50","$393,049.00","$441,053.50","$429,963.25"
5491,CUMBERLAND #6702,ONE MONTAGUE CITY RD,TURNERS FALLS,"$1,463,044.00","$1,650,565.50","$1,463,044.00","$1,418,257.75","$1,273,957.00"
5492,FOOD CITY,250 AVENUE A,TURNERS FALLS,"$971,487.50","$1,002,107.25","$971,487.50","$882,144.75","$819,848.00"
5493,HUBIE'S TAVERN & RESTAURANT,66 AVENUE A,TURNERS FALLS,"$281,962.00",$108.00,"$281,962.00","$337,756.50","$312,057.00"
5494,MONTAGUE ELKS LODGE,1 COLUMBUS AVE,TURNERS FALLS,"$153,709.00","$77,371.00","$153,709.00","$175,015.00","$219,997.75"
5495,SCOTTY'S CONVENIENCE STORE,66 UNITY ST,TURNERS FALLS,"$1,239,976.25","$1,133,164.50","$1,239,976.25","$1,310,450.25","$1,062,686.00"
5496,ST KAZIMIER SOCIETY,197 A AVENUE,TURNERS FALLS,"$303,672.00","$60,571.00","$303,672.00","$341,121.50","$277,704.50"
5497,ST STANISLAW CLUB,6 K STREET,TURNERS FALLS,"$487,812.00","$38,266.00","$487,812.00","$601,016.50","$503,067.25"
5498,ALLTOWN #2701,95-97 WESTFORD DR,TYNGSBORO,"$923,360.00","$763,299.00","$923,360.00","$907,509.25","$867,409.25"
5499,AMER LEGION POST 247,80 PAWRUCKET BLVD,TYNGSBORO,"$340,572.00","$167,568.00","$340,572.00","$517,034.50","$554,140.50"
5500,BRIDGEVIEW CONVENIENCE STORE,172 MIDDLESEX RD,TYNGSBORO,"$3,770,152.50","$4,925,500.75","$3,770,152.50","$2,940,264.75","$2,688,226.50"
5501,FLINT'S MARKET & LIQUORS,150 WESTFORD RD,TYNGSBORO,"$1,844,442.50","$1,721,543.75","$1,844,442.50","$1,715,142.50","$1,679,284.75"
5502,FORREST MARINE,426 MIDDLESEX RD,TYNGSBORO,"$2,831,347.25","$2,222,973.75","$2,831,347.25","$2,633,185.00","$2,709,102.00"
5503,G & G LIQUORS,24 WESTFORD RD,TYNGSBORO,"$1,717,186.25","$1,695,077.25","$1,717,186.25","$1,873,142.25","$1,830,306.25"
5504,LUKOIL,397 MIDDLESEX RD,TYNGSBORO,"$6,830,287.25","$7,795,654.50","$6,830,287.25","$6,688,760.25","$7,237,534.00"
5505,MAXAMILLIANS,315 MIDDLESEX RD,TYNGSBORO,"$490,589.00","$267,670.50","$490,589.00","$545,986.00","$665,710.50"
5506,SUN CITY VARIETY,240 LAKEVIEW AVE,TYNGSBORO,"$2,818,123.00","$3,098,453.00","$2,818,123.00","$2,395,875.75","$1,969,302.50"
5507,THIRSTY'S,25 PARHAM RD,TYNGSBORO,"$1,044,729.00","$828,849.25","$1,044,729.00","$1,041,448.75","$1,048,021.25"
5508,TYNGSBOROUGH LIQUORS,24 MIDDLESEX RD,TYNGSBORO,"$258,947.00","$135,634.00","$258,947.00","$239,092.00","$161,041.00"
5509,COUNTRY CLUB  SOOPER,10 MAIN ST,UPTON,"$306,697.50","$433,575.50","$306,697.50","$263,163.00","$243,469.25"
5510,GASCO EXPRESS,44 MILFORD ST,UPTON,"$409,039.00","$476,156.00","$409,039.00","$366,776.00","$355,706.00"
5511,LIQUOR PLUS,125 MAIN STREET,UPTON,"$301,686.00","$311,855.50","$301,686.00","$292,704.75","$275,150.00"
5512,THE ROSE GARDEN RESTAURANT,16 MILFORD ST,UPTON,"$185,104.00","$75,259.00","$185,104.00","$208,064.25","$183,434.50"
5513,CUMBERLAND #6765,128 N MAIN STREET,UXBRIDGE,"$864,161.00","$1,204,624.75","$864,161.00","$800,748.25","$724,799.50"
5514,HANNAFORD #14,158 N  MAIN ST,UXBRIDGE,"$339,914.25","$124,442.00","$339,914.25","$383,689.00","$542,221.25"
5515,HANNAS PLACE,775 QUAKER HWY,UXBRIDGE,"$582,439.50","$361,439.00","$582,439.50","$562,692.50","$447,422.25"
5516,HELLEN GARAGE,277 NORTH MAIN STREET,UXBRIDGE,"$444,236.25","$621,394.50","$444,236.25","$371,093.00","$189,617.50"
5517,KAPI'S PUB,270 N  MAIN ST,UXBRIDGE,"$394,473.25","$381,760.25","$394,473.25","$376,838.50","$335,594.75"
5518,NORTH END VARIETY,33 E HARTFORD AVE,UXBRIDGE,"$1,835,836.50","$2,113,515.25","$1,835,836.50","$1,847,344.50","$1,758,540.75"
5519,POL AMER SOC/CIVIC CORP,217 MENDON ST,UXBRIDGE,"$521,017.00","$375,245.00","$521,017.00","$554,115.00","$518,318.25"
5520,QUAKER DELI AND CONVENIENCE,544 QUAKER HWY,UXBRIDGE,"$983,996.00","$1,463,537.00","$983,996.00","$815,002.25","$205,505.75"
5521,QUAKER TAVERN,466 QUAKER HWY,UXBRIDGE,"$256,701.00","$244,719.00","$256,701.00","$193,314.00","$145,372.50"
5522,QUAKER XTRA MART,674 QUAKER HIGHWAY,UXBRIDGE,"$475,577.00","$344,448.00","$475,577.00","$492,279.00","$406,308.50"
5523,QUIT N TIME LIQUORS,300 N MAIN ST,UXBRIDGE,"$230,883.00","$470,869.50","$230,883.00","$206,425.50","$190,221.50"
5524,ST'S GENERAL STORE,110 MENDON ST,UXBRIDGE,"$1,088,434.50","$1,382,326.75","$1,088,434.50","$1,020,401.50","$925,825.00"
5525,UXBRIDGE BEER & WINE,158 N MAIN ST,UXBRIDGE,"$447,771.00","$563,077.00","$447,771.00","$490,171.75","$406,831.00"
5526,VFW  POST #1385,13 CROSS RD,UXBRIDGE,"$343,021.50","$150,224.00","$343,021.50","$313,048.00","$336,683.50"
5527,CUMBERLAND #2304,7 LAGOON POND RD,VINEYARD HAVEN,"$1,645,589.50","$1,846,184.75","$1,645,589.50","$1,598,488.50","$1,631,430.75"
5528,STOP & SHOP #423,50 S WATER STREET,VINEYARD HAVEN,"$250,369.25","$3,674.00","$250,369.25","$237,579.25","$245,328.00"
5529,VINEYARD HAVEN XTRA MT,7-9 BEACH RD,VINEYARD HAVEN,"$306,142.50","$278,068.75","$306,142.50","$269,515.50","$233,146.00"
5530,WOODLAND VARIETY,455 STATE RD,VINEYARD HAVEN,"$2,785,732.25","$3,024,430.75","$2,785,732.25","$2,763,548.50","$2,763,972.25"
5531,AMERICAN LEGION  #204,159 HARTWELL ST,W BOYLSTON,"$159,273.00","$161,381.00","$159,273.00","$132,127.50","$166,279.00"
5532,CHOICE SMOKE SHOP,244 W BOYLSTON ST    2,W BOYLSTON,"$424,976.75","$266,729.25","$424,976.75","$444,927.25","$342,331.75"
5533,CUMBERLAND #6758,184-186 W BOYLSTON ST,W BOYLSTON,"$1,296,454.50","$1,342,102.00","$1,296,454.50","$1,110,781.75","$731,179.25"
5534,THE DRAUGHT HOUSE BAR & GRILL,42 W BOYLSTON ST,W BOYLSTON,"$964,803.00","$1,004,100.00","$964,803.00","$808,949.00","$696,808.25"
5535,THE MILL,185 W BOYLSTON ST,W BOYLSTON,"$835,390.00","$683,387.00","$835,390.00","$828,518.25","$667,058.50"
5536,W BOYLSTON PACKAGE STORE,293 W BOYLSTON ST,W BOYLSTON,"$648,904.75","$484,215.25","$648,904.75","$669,736.25","$688,149.75"
5537,WACHUSETT COUNTRY CLUB,187 PROSPECT ST,W BOYLSTON,"$627,237.00","$1,181,172.50","$627,237.00","$298,896.50","$224,864.50"
5538,WACHUSETT WINE AND SPIRITS,21 FRANKLIN ST,W BOYLSTON,"$194,413.75","$250,605.00","$194,413.75","$188,830.75","$175,478.00"
5539,7-ELEVEN 37387,397 W CENTER ST,W BRIDGEWATER,"$1,341,864.25","$1,346,222.25","$1,341,864.25","$1,157,818.75","$984,033.50"
5540,BARRETT'S ALEHOUSE,674 W CENTER ST,W BRIDGEWATER,"$740,582.50","$874,530.25","$740,582.50","$735,916.25","$33,284.00"
5541,BOSTON TAVERN,389 WEST CENTER ST,W BRIDGEWATER,"$779,123.50","$583,601.00","$779,123.50","$702,423.25","$755,649.00"
5542,CUMBERLAND #2353,8 N MAIN ST,W BRIDGEWATER,"$794,785.25","$786,503.50","$794,785.25","$776,595.25","$714,351.25"
5543,DUTCHLAND DRIVE THRU,501 N MAIN ST,W BRIDGEWATER,"$2,115,512.50","$2,961,609.50","$2,115,512.50","$1,856,044.25","$1,710,099.00"
5544,GRAND SLAM PIZZA-PUB,269 N MAIN ST,W BRIDGEWATER,"$488,437.50","$248,778.50","$488,437.50","$429,518.00","$287,055.50"
5545,HARDYS FINE FOOD & CATERING,740 N MAIN ST,W BRIDGEWATER,"$316,867.75","$423,669.25","$316,867.75","$164,749.50","$159,483.50"
5546,HOCKOMOCK LIQUORS,235 W CENTER ST,W BRIDGEWATER,"$449,034.25","$503,609.00","$449,034.25","$478,094.50","$449,752.25"
5547,JESSY'S LIQUORS,387 W CENTER ST,W BRIDGEWATER,"$226,899.75","$300,513.50","$226,899.75","$207,916.00","$1,024.00"
5548,JESSY'S LIQUORS,387 W CENTER ST,W BRIDGEWATER,"$226,899.75","$300,513.50","$226,899.75","$207,916.00","$180,988.75"
5549,MACY'S LIQUORS,4 SOUTH MAIN STREET,W BRIDGEWATER,"$86,628.50","$363,012.25","$86,628.50","$219,151.75","$252,376.00"
5550,MACY'S LIQUORS,4 SOUTH MAIN STREET,W BRIDGEWATER,"$86,628.50","$363,012.25","$132,215.50","$219,151.75","$252,376.00"
5551,MACY'S LIQUORS,4 SOUTH MAIN STREET,W BRIDGEWATER,"$132,215.50","$363,012.25","$86,628.50","$219,151.75","$252,376.00"
5552,MACY'S LIQUORS,4 SOUTH MAIN STREET,W BRIDGEWATER,"$132,215.50","$363,012.25","$132,215.50","$219,151.75","$252,376.00"
5553,MARKET BASKET #70,352 W CENTER ST,W BRIDGEWATER,"$587,096.00","$506,812.25","$587,096.00","$458,707.00","$385,788.50"
5554,MOTION GAS AND PROPANE,710 N MAIN STREET,W BRIDGEWATER,"$577,743.25","$801,979.00","$577,743.25","$442,336.25","$387,491.00"
5555,NIKO BAR AND GRILL,275 N MAIN ST,W BRIDGEWATER,"$226,754.00","$126,499.00","$226,754.00","$177,082.50","$138,036.50"
5556,QUICK STOP,47 NORTH MAIN STREET,W BRIDGEWATER,"$1,955,371.00","$2,382,392.75","$1,955,371.00","$1,870,609.75","$1,840,965.25"
5557,THE CORNER MARKET,227 MATFIELD ST,W BRIDGEWATER,"$1,342,087.75","$1,721,995.00","$1,342,087.75","$1,311,129.00","$1,307,686.25"
5558,TOWN LINE GENERAL STORE,450 EAST CENTER ST,W BRIDGEWATER,"$936,490.50","$1,310,710.25","$936,490.50","$858,608.75","$814,931.25"
5559,TRUCCHI'S MARKET #2,53 EAST CENTER ST,W BRIDGEWATER,"$946,783.25","$1,136,710.75","$946,783.25","$917,187.75","$993,308.00"
5560,W BRIDGEWATER MOBIL MART,575 WEST CENTER ST,W BRIDGEWATER,"$1,239,435.25","$1,220,286.25","$1,239,435.25","$1,353,708.75","$1,312,017.75"
5561,YANGTZE INN,266 S MAIN ST,W BRIDGEWATER,"$85,050.75","$166,227.50","$85,050.75","$88,469.75","$115,032.00"
5562,COUNTRY CORNER,118 WEST MAIN ST,W BROOKFIELD,"$1,183,022.50","$1,422,963.75","$1,183,022.50","$1,257,404.75","$1,137,577.00"
5563,MAIN STREET LIQUORS,11 EAST MAIN ST,W BROOKFIELD,"$258,231.75","$362,856.50","$258,231.75","$217,624.75","$197,663.00"
5564,PLANTATION COUNTRY STORE,1 E MAIN ST,W BROOKFIELD,"$242,599.25","$365,471.25","$242,599.25","$247,077.25","$242,551.75"
5565,THE SPIRIT SHOPPE,143 W MAIN ST,W BROOKFIELD,"$641,037.50","$863,447.25","$641,037.50","$592,011.00","$550,611.25"
5566,YE OLDE TAVERN,7 E MAIN ST,W BROOKFIELD,"$537,121.75","$46,942.50","$537,121.75","$519,060.50","$481,516.50"
5567,LARRY'S  PX,1591 MAIN ST,W CHATHAM,"$43,669.25","$32,879.50","$43,669.25","$41,569.00","$44,401.00"
5568,MESERVEY HESS,1698 MAIN STREET,W CHATHAM,"$331,327.00","$412,258.25","$331,327.00","$273,998.00","$130,988.75"
5569,SHOP AHOY LIQUORS,1589 MAIN STREET,W CHATHAM,"$282,951.75","$273,709.75","$282,951.75","$280,292.75","$279,141.50"
5570,7-ELEVEN 37426,964 MAIN ST RT 28,W DENNIS,"$1,719,817.75","$1,433,849.75","$1,719,817.75","$1,451,652.50","$695,604.50"
5571,7-ELEVEN 37426,964 MAIN ST RT 28,W DENNIS,"$1,719,817.75","$1,433,849.75","$1,719,817.75","$1,451,652.50","$735,021.00"
5572,FINLEY'S LIQUORS,309 MAIN ST,W DENNIS,"$388,823.00","$381,689.25","$388,823.00","$476,227.75","$439,285.25"
5573,ROYAL PALACE,369 RT 28,W DENNIS,"$617,112.75","$704,717.50","$617,112.75","$692,053.00","$726,040.75"
5574,LUKE'S SUPER LIQUORS,224 RTE 28,W HARWICH,"$197,254.75","$233,667.50","$197,254.75","$185,531.25","$188,093.75"
5575,W NEWBURY FOOD MART,275 MAIN ST,W NEWBURY,"$262,255.00","$254,751.25","$262,255.00","$298,271.25","$311,444.75"
5576,CORNER MINI MART,3 BORDER ST,W NEWTON,"$1,169,752.25","$1,320,838.25","$1,169,752.25","$1,112,438.00","$1,085,582.50"
5577,HIGHLANDER FARMS,69 WALTHAM ST,W NEWTON,"$1,033,891.00","$1,333,142.75","$1,033,891.00","$954,272.00","$891,480.50"
5578,IN TOWN MARKET,979 WATERTOWN ST,W NEWTON,"$763,693.25","$964,149.00","$763,693.25","$661,354.75","$593,033.50"
5579,KNIGHTS OF COLUMBUS,121 CHAPEL STREET,W NEWTON,"$88,880.50","$104,095.00","$88,880.50","$101,330.00","$113,201.50"
5580,RIVER STREET FOOD MART,340 RIVER STREET,W NEWTON,"$1,018,548.00","$1,035,762.00","$1,018,548.00","$999,561.25","$758,450.00"
5581,7-ELEVEN 34396-B,1710 CENTER ST,W ROXBURY,"$3,424,090.75","$2,839,978.50","$3,424,090.75","$3,433,280.00","$2,966,286.50"
5582,7-ELEVEN 37511,7 SPRING ST,W ROXBURY,"$2,854,094.25","$93,537.75","$2,854,094.25","$2,661,912.50","$1,710,239.75"
5583,BLANCHARD'S W ROXBURY,418 LAGRANGE ST,W ROXBURY,"$138,243.75","$138,343.25","$138,243.75","$149,870.50","$164,649.25"
5584,BOSTON LODGE OF ELKS,1 MORRELL ST,W ROXBURY,"$566,543.00","$565,488.75","$566,543.00","$548,878.50","$626,739.50"
5585,ELLAS GAS,167 SPRING STREET,W ROXBURY,"$321,409.75","$360,245.75","$321,409.75","$335,535.75","$288,119.25"
5586,FAMILIA GROCERY,243 GROVE ST,W ROXBURY,"$45,096.50","$103,837.00","$45,096.50","$81,903.75","$89,025.25"
5587,GARY'S LIQUORS,655 VFW PKWY,W ROXBURY,"$900,057.00","$984,946.00","$900,057.00","$939,451.00","$893,509.25"
5588,MACY'S LIQUORS,1826 CENTRE ST,W ROXBURY,"$495,528.50","$479,801.00","$495,528.50","$471,890.00","$337,051.00"
5589,MARINO'S MARKET,1245 VFW PKWY,W ROXBURY,"$577,475.25","$837,914.00","$577,475.25","$650,452.25","$465,940.25"
5590,MARINO'S MARKET & DELI,1906 CENTRE ST,W ROXBURY,"$1,367,228.50","$1,828,477.50","$1,367,228.50","$1,387,864.50","$829,408.75"
5591,MCCRACKEN AUTO EXPRESS,145 SPRING ST,W ROXBURY,"$214,618.75","$202,394.00","$214,618.75","$224,804.75","$234,191.50"
5592,NEW BAKER STREET MARKET,419 BAKER ST,W ROXBURY,"$1,992,290.00","$2,343,555.75","$1,992,290.00","$2,079,081.00","$1,830,275.25"
5593,NICK'S PARKWAY AUTO,1200 VFW PARKWAY,W ROXBURY,"$310,494.50","$691,259.25","$310,494.50","$223,292.25","$276,756.00"
5594,ONE ENERGY,1465 VFW PARKWAY,W ROXBURY,"$130,628.75","$158,403.25","$130,628.75","$137,579.50","$146,872.75"
5595,PRESTIGE,5175 WASHINGTON ST,W ROXBURY,"$628,468.25","$156,327.00","$628,468.25","$437,152.00","$5,088.75"
5596,PRESTIGE,5175 WASHINGTON ST,W ROXBURY,"$628,468.25","$553,362.50","$628,468.25","$437,152.00","$5,088.75"
5597,ROCHE BROS #115,1800 CENTRE STREET,W ROXBURY,"$1,242,881.00","$914,865.25","$1,242,881.00","$1,100,675.25","$1,263,482.50"
5598,SHAWS 3577,75 SPRING STREET,W ROXBURY,"$1,113,557.00","$1,323,420.50","$1,113,557.00","$1,044,523.75","$1,073,278.75"
5599,SPEEDWAY #2490,5315 WASHINGTON ST,W ROXBURY,"$489,616.75","$569,856.25","$489,616.75","$504,637.25","$389,690.25"
5600,SPEEDWAY #2517,1779 CENTER ST,W ROXBURY,"$332,732.00","$681,337.00","$332,732.00","$331,452.75","$222,782.00"
5601,SPEEDY  MARKET,4899 WASHINGTON ST,W ROXBURY,"$3,189,178.00","$3,722,002.75","$3,189,178.00","$3,131,759.75","$142,036.00"
5602,TOWNLINE LIQUORS,1524 VFW PARKWAY,W ROXBURY,"$308,666.25","$414,178.25","$308,666.25","$257,781.25","$263,122.25"
5603,A BERTELLI'S LIQUOR,726 MAIN ST,W SPRINGFIELD,"$514,654.00","$611,823.00","$514,654.00","$571,717.00","$594,377.50"
5604,BIG Y #03,503 MEMORIAL DR,W SPRINGFIELD,"$710,554.00","$685,567.75","$710,554.00","$692,699.50","$700,839.75"
5605,CHARLIE'S DINER,218 UNION ST,W SPRINGFIELD,"$85,349.75","$48,601.50","$85,349.75","$53,597.75","$74,395.00"
5606,COLLINS TAVERN,997 WESTFIELD ST,W SPRINGFIELD,"$540,087.25","$642,155.00","$540,087.25","$609,580.00","$621,601.00"
5607,CONVENIENCE MART,7 CHESTER STREET,W SPRINGFIELD,"$573,894.50","$764,849.75","$573,894.50","$500,310.75","$374,339.50"
5608,CUMBERLAND #6703,22 PARK STREET,W SPRINGFIELD,"$896,995.50","$907,173.25","$896,995.50","$748,336.75","$510,079.75"
5609,CUMBERLAND #6730,143 PARK AVE,W SPRINGFIELD,"$1,087,408.25","$900,530.75","$1,087,408.25","$1,325,023.75","$1,262,893.25"
5610,DONUT DIP INC,1305 RIVERDALE ST,W SPRINGFIELD,"$58,564.00","$64,650.50","$58,564.00","$63,428.75","$80,620.00"
5611,ELM STREET PARTNERSHIP,195 ELM STREET,W SPRINGFIELD,"$36,655.50","$8,860.00","$36,655.50","$28,205.50","$24,295.75"
5612,EZEE MART,83 RIVER STREET,W SPRINGFIELD,"$825,677.25","$13,783.00","$825,677.25","$875,211.00","$732,585.25"
5613,EZEE MART,83 RIVER STREET,W SPRINGFIELD,"$825,677.25","$1,387,816.50","$825,677.25","$875,211.00","$732,585.25"
5614,EZEE MART,50 MORGAN ROAD,W SPRINGFIELD,"$2,785,157.00","$2,611,285.75","$2,785,157.00","$3,155,582.50","$2,952,743.50"
5615,HAMPDEN GAS MART,562 WESTFIELD STREET,W SPRINGFIELD,"$268,032.50","$348,784.75","$268,032.50","$307,104.75","$288,025.75"
5616,POWERS REST/CAFE,76 WESTFIELD ST,W SPRINGFIELD,"$807,191.00","$288,822.00","$807,191.00","$919,842.00","$776,684.00"
5617,PRIDE STATION & STORE,757 RIVERDALE ST,W SPRINGFIELD,"$838,735.00","$1,640,112.25","$838,735.00","$2,413.00","$1,667.00"
5618,PRIDE STATION & STORE,1247 RIVERDALE AVE,W SPRINGFIELD,"$1,911,025.75","$2,228,524.25","$1,911,025.75","$1,927,510.50","$1,547,615.75"
5619,ROTARY LIQUORS,52 PARK ST,W SPRINGFIELD,"$305,731.50","$366,934.25","$305,731.50","$260,288.75","$271,752.50"
5620,SHELL FOOD MART,173 ELM ST,W SPRINGFIELD,"$1,405,766.50","$1,965,705.75","$1,405,766.50","$1,433,862.75","$1,305,798.25"
5621,SPEEDWAY #2496,341 MEMORIAL AVE,W SPRINGFIELD,"$168,943.00","$233,543.00","$168,943.00","$207,863.00","$221,410.25"
5622,STOP & SHOP #094,935 RIVERDALE RD,W SPRINGFIELD,"$889,917.50","$925,212.00","$889,917.50","$951,512.50","$995,455.00"
5623,THE AMERICAN LEGION,83 PARK AVE,W SPRINGFIELD,"$258,475.00","$73,855.00","$258,475.00","$329,024.50","$282,874.75"
5624,THE COUNTRY STORE,1022 AMOSTOWN ROAD,W SPRINGFIELD,"$548,127.75","$639,518.50","$548,127.75","$601,430.00","$537,061.00"
5625,TOWN & COUNTRY LIQS,1119 RIVERDALE ST,W SPRINGFIELD,"$315,276.00","$244,736.75","$315,276.00","$293,437.75","$252,188.50"
5626,WESTFIELD FOODMART,2260 WESTFIELD ST,W SPRINGFIELD,"$1,319,506.50","$446,313.50","$1,319,506.50","$1,372,175.75","$1,238,716.75"
5627,PUBLIC MARKET,8 MAIN ST,W STOCKBRIDGE,"$195,495.50","$227,052.25","$195,495.50","$204,030.75","$212,918.00"
5628,QUEENSBORO WINE & SPIRITS,26 MAIN ST,W STOCKBRIDGE,"$65,259.00","$93,908.00","$65,259.00","$63,451.75","$65,082.25"
5629,CONROY APOTHECARY,459 STATE RD,W TISBURY,"$247,661.25","$155,920.50","$247,661.25","$226,597.25","$247,364.50"
5630,CUMBERLAND #2272,2360 CRANBERRY HGWY,W WAREHAM,"$1,349,382.75","$1,432,847.50","$1,349,382.75","$1,189,881.50","$1,139,437.25"
5631,SPEEDY MART,2238 CRANBERRY HWY,W WAREHAM,"$1,928,388.50","$2,524,044.75","$1,928,388.50","$1,727,837.50","$1,537,665.75"
5632,VEL'S RESTAURANT,2352 CRANBERRY HWY,W WAREHAM,"$996,293.25","$944,064.50","$996,293.25","$1,046,767.25","$1,024,687.25"
